#Number,specobjid,mangaid,z,ra,dec,plate,mjd,fiberid,run,camcol,field
0,800534387039954944,1-109308,0.131681,49.9495621925,-0.22114540619,711,52202,71,3438,3,133
1,819713723454220288,1-113468,0.136342,317.918280237,9.34565198917,728,52520,213,1739,1,26
2,819717846622824448,1-113476,0.118158,317.568825378,10.4088108392,728,52520,228,1754,4,57
3,819755230018168832,1-113521,0.135043,317.388736588,11.5029226993,728,52520,364,1739,6,25
4,820857764430505984,1-113668,0.129233,318.827736002,10.4968107833,729,52468,279,1754,4,65
5,820864361500272640,1-113675,0.129881,318.775640877,10.0984558649,729,52468,303,1754,3,64
6,827562312314415104,1-114973,0.12046,332.238573881,11.8776065621,735,52519,94,2566,2,127
7,851310390057920512,1-121532,0.139965,118.09111,34.32657,756,52237,451,6727,5,57
8,611385123731957760,1-121737,0.113369,118.291306687,35.9325202653,543,52017,78,2131,6,92
9,852392853567989760,1-121747,0.130424,118.173710436,35.3209421817,757,52238,315,2137,5,118
10,468467575240550400,1-133652,0.13901,54.5266330298,0.824510054102,415,51810,601,4849,5,819
11,6794898123833757696,1-134760,0.138175,245.362216361,42.76129006,6035,56076,335,4629,3,188
12,917726386527954944,1-134884,0.13407,245.194377712,43.1532077493,815,52374,429,4629,3,190
13,917775589673297920,1-134978,0.133139,246.42636598,43.9317741891,815,52374,608,2328,6,25
14,917782461620971520,1-134994,0.129686,246.881870865,43.4062635412,815,52374,633,2299,5,322
15,923403166135904256,1-136292,0.121731,255.350049437,37.3828022848,820,52438,601,2335,5,61
16,934514003579791360,1-137548,0.147354,134.674576789,41.2364198815,830,52293,62,2864,6,192
17,984074490956769280,1-148086,0.133195,156.699612286,48.1290396768,874,52338,138,2830,2,297
18,988606678138120192,1-149270,0.115761,168.300903481,50.2645926072,878,52353,242,2883,1,130
19,1014473793525016576,1-156039,0.114699,143.940659163,49.0232113878,901,52641,138,2831,2,41
20,1014557081530820608,1-156158,0.138619,144.475988638,50.9890991486,901,52641,441,2863,5,146
21,1061899298997823488,1-167403,0.137721,153.92384006,45.367076756,943,52376,639,2964,3,180
22,1062920474415097856,1-167519,0.112397,153.914679727,44.6568673627,944,52614,258,2964,1,178
23,1085490974769047552,1-173903,0.116572,166.311935076,49.6589085644,964,52646,449,2964,6,242
24,1085491249646954496,1-173904,0.114195,166.157979231,49.6757871692,964,52646,450,2964,6,241
25,1086530009767634944,1-174074,0.12623,170.288543252,48.0416546994,965,52438,133,2964,1,256
26,1112426808512374784,1-180153,0.1375,322.612307729,-0.006758194,988,52520,137,4207,3,122
27,1112513120175155200,1-180298,0.133437,322.253154429,0.182613494027,988,52520,451,4187,4,97
28,1112513395053062144,1-180299,0.138235,322.115240126,0.182055076662,988,52520,452,4187,4,96
29,1112521916268177408,1-180308,0.135063,322.510226454,0.464198663396,988,52520,483,4187,5,99
30,1178924450700093440,1-197718,0.125351,219.031216217,49.7203386644,1047,52733,390,3180,3,92
31,1179947546320070656,1-197867,0.124553,224.835531726,47.5670512067,1048,52736,16,3180,3,122
32,1193480058879109120,1-201464,0.142805,118.307046564,28.8282978926,1060,52636,95,2864,6,70
33,1196856108577220608,1-202100,0.139812,53.5649118233,-1.18229114429,1063,52591,89,4136,1,175
34,1257785550362929152,1-205522,0.123344,310.757046339,1.13351382359,1117,52885,565,3322,6,70
35,1309468365680568320,1-207943,0.141382,222.500765253,54.084510913,1163,52669,170,3184,4,34
36,1313930185023711232,1-209049,0.128998,236.092836031,47.8535814068,1167,52738,18,3225,4,161
37,1315178130603796480,1-209607,0.115634,236.299300223,47.0497223315,1168,52731,462,3225,3,165
38,1318531916315518976,1-210547,0.138583,243.830304469,42.0376366038,1171,52753,375,3226,4,77
39,1318545935088773120,1-210578,0.137504,243.623211686,41.580727492,1171,52753,426,4629,6,180
40,1319558035642804224,1-210700,0.130272,248.140561423,39.1310206842,1172,52759,12,3225,5,243
41,1351163220978591744,1-216984,0.147426,135.065441378,40.9179727701,1200,52668,303,2864,5,192
42,1351205552176261120,1-217041,0.140035,137.441277003,41.9558696113,1200,52668,457,2830,5,198
43,1353360869911717888,1-217376,0.129503,146.091834548,44.710759598,1202,52672,106,2864,2,251
44,1353485939359377408,1-217499,0.142731,146.2936,46.0367,1202,52672,561,2830,5,248
45,1357989264075286528,1-218427,0.149571,124.34231312,27.7962046205,1206,52670,560,3462,3,96
46,1529066131967469568,1-221789,0.113595,153.53547927,44.175746477,1358,52994,342,3530,6,240
47,1398501598509950976,1-229078,0.131564,57.4904158242,0.0743329651936,1242,52901,487,109,4,152
48,395295074465900544,1-22948,0.119399,254.542083999,62.4156479613,351,51695,379,1339,3,26
49,1436745089073309696,1-232720,0.122993,144.400982963,38.2772954639,1276,53035,352,3560,6,248
50,1494082692055066624,1-245940,0.131465,220.126815592,50.9986458484,1327,52781,49,3705,1,136
51,1494216007839934464,1-246177,0.133934,219.477235278,52.9785224378,1327,52781,534,3712,5,222
52,1494244870020163584,1-246216,0.14584,221.226039662,52.4468152862,1328,52786,322,3705,5,136
53,1515576495798511616,1-251278,0.149511,209.234177154,43.3134779654,1346,52822,419,3818,6,285
54,1529075202938398720,1-254532,0.14498,154.763420682,44.0330341929,1358,52994,375,3530,5,245
55,1530131833746909184,1-254717,0.11615,156.356094112,40.3483200486,1359,53002,123,3813,1,84
56,1533606841051801600,1-255890,0.147919,163.249900532,43.0486136514,1362,53050,477,3818,4,64
57,1542598647814842368,1-258425,0.112247,182.983754904,45.7899295636,1370,53090,421,3813,5,218
58,1543654449342343168,1-258599,0.125582,186.180996627,44.4107711556,1371,52821,166,3813,2,233
59,413342738268841984,1-25911,0.139784,260.346989853,55.876526099,357,51813,495,1336,4,74
60,413360880210700288,1-25937,0.113153,261.115608768,56.2960102323,367,51997,566,1336,5,72
61,1550365322404456448,1-260377,0.122408,207.569449754,39.6364270051,1377,53050,4,3893,2,290
62,1551557742949328896,1-260743,0.146998,208.392613685,38.9965989403,1378,53061,246,3893,1,295
63,1569519640567113728,1-265849,0.130282,214.825638862,42.6742310975,1394,53108,55,3699,2,165
64,1569547678113622016,1-265907,0.137158,214.328094382,43.5203795212,1394,53108,157,3716,3,178
65,1569636738555471872,1-266074,0.13772,214.060210955,43.9229334765,1394,53108,481,3716,4,175
66,1569651856840353792,1-266106,0.141613,214.547722959,44.4742758113,1394,53108,536,3699,6,159
67,1570704359598090240,1-266288,0.135462,215.449747404,42.327856382,1395,52825,269,3716,1,186
68,1570726899586459648,1-266328,0.136102,215.072632347,43.0627986743,1395,52825,351,3699,3,165
69,1573032305524500480,1-266817,0.129146,223.485811547,41.357060863,1397,53119,546,3716,5,225
70,1585279210807650304,1-269632,0.131457,247.560972961,26.2064735616,1408,52822,44,3926,3,153
71,1614571853714581504,1-276590,0.140498,162.989174052,44.7601317834,1434,53053,114,3530,2,284
72,1619082325306402816,1-277992,0.122333,168.094030871,44.8160370649,1438,53054,139,3813,6,148
73,1619127405283141632,1-278075,0.142857,166.106858433,45.7817118443,1438,53054,303,3530,3,300
74,1622493285740210176,1-279123,0.112604,169.669552898,45.5527255595,1441,53083,260,3530,1,316
75,1622576848623921152,1-279314,0.140497,171.013323097,47.9707615331,1441,53083,564,3059,1,91
76,1630392177894909952,1-281234,0.112711,180.172706776,43.3546289934,1448,53120,324,3840,6,152
77,1633719849786042368,1-282114,0.112681,185.037670436,47.1335214433,1451,53117,142,3698,3,170
78,1640603342314956800,1-284031,0.143485,195.522963799,47.4969532797,1457,53116,608,3699,5,69
79,1642710006610552832,1-284293,0.12908,197.239319048,45.9054469821,1459,53117,80,3716,1,95
80,1651836502843353088,1-286804,0.142887,211.904865423,44.4822692358,1467,53115,514,3716,4,164
81,1859991653549369344,1-316296,0.118093,233.969521776,28.0552269095,1652,53555,18,4512,6,226
82,1861221731830622208,1-316865,0.135443,235.023897879,28.0804506595,1653,53534,397,3900,3,659
83,1861247570353874944,1-316933,0.115776,235.540149707,28.2569582583,1653,53534,491,3900,4,661
84,1881402166770427904,1-320324,0.144287,211.991755192,47.9064008103,1671,53446,85,2964,6,440
85,1882560777383077888,1-320677,0.130442,213.809361648,47.7499574049,1672,53460,204,3918,1,132
86,1888300772601391104,1-322096,0.116315,229.493083453,44.0795834625,1677,53148,606,3964,6,107
87,1888306819915343872,1-322113,0.12226,229.308914218,44.0180313812,1677,53148,628,3964,6,107
88,1951285194992412672,1-338044,0.120859,111.975292022,40.0919903613,1733,53047,366,4204,5,40
89,1951331374480779264,1-338117,0.141544,112.559910339,39.533459057,1733,53047,534,6573,1,197
90,1952349796907902976,1-338250,0.129115,113.248257619,40.0073013252,1734,53034,143,6573,2,201
91,1952362166413715456,1-338279,0.117849,112.603684034,39.8968449502,1734,53034,188,6573,2,198
92,1952364365436971008,1-338283,0.120054,112.670687362,40.1917896363,1734,53034,196,4204,4,42
93,1953531497046632448,1-338629,0.116056,113.266875521,42.4724616081,1735,53035,346,4264,1,43
94,1954607369459623936,1-338822,0.118865,115.632320465,43.935522553,1736,53052,164,4208,3,72
95,2100938627616892928,1-338922,0.134471,114.775746822,44.4027654465,1866,53314,34,4294,1,33
96,1955726122591217664,1-339120,0.129417,117.364038937,45.5329185307,1737,53055,138,4204,3,85
97,2004114530405214208,1-351716,0.134602,122.077051466,49.6334822775,1780,53090,46,1402,6,125
98,2004116179672655872,1-351719,0.134953,122.240261573,50.0162986148,1780,53090,52,1402,6,127
99,460508486451619840,1-36877,0.137576,42.3180767201,-0.774108962905,409,51871,56,4263,2,398
100,463888941443999744,1-37679,0.115262,48.5733342944,-0.609696334691,412,52250,66,4849,2,779
101,2098833337710831616,1-377439,0.119084,112.169426691,41.4730240551,1864,53313,567,4208,6,50
102,2098850929896876032,1-377471,0.119678,112.644838061,42.3290588306,1864,53313,631,4294,2,16
103,2099946868095084544,1-377720,0.143514,112.721756162,43.5007438516,1865,53312,522,4264,3,48
104,2100960617849448448,1-377841,0.130943,113.747217977,43.4725190638,1866,53314,114,4264,1,50
105,2102099162190342144,1-378168,0.147765,114.309703748,46.9375039058,1867,53317,160,4264,4,72
106,2102142318021732352,1-378237,0.127436,113.326608857,46.3481928774,1867,53317,317,4294,5,42
107,2102215710422886400,1-378360,0.127488,115.387477093,47.8710058847,1867,53317,584,4294,4,55
108,2104323749259012096,1-378770,0.133623,119.120000702,50.2878655047,1869,53327,61,4264,1,102
109,467321334351816704,1-38617,0.148557,52.6508391076,-0.548766477429,415,51810,265,4849,2,806
110,2177504494928029696,1-386272,0.143701,135.411717453,27.6674530335,1934,53357,51,4335,2,166
111,467344424096000000,1-38663,0.139508,52.0504984222,0.124749266576,415,51879,355,4136,4,165
112,2221440705954342912,1-394326,0.126537,158.131804307,36.3670696179,1973,53432,146,4469,2,306
113,2221469018378758144,1-394382,0.123521,157.650666274,35.9166082542,1973,53432,249,3900,2,229
114,2257451361702537216,1-402409,0.117655,205.386024339,38.7879976571,2005,53472,80,3900,5,480
115,2352162194243741696,1-414400,0.136377,182.784465836,35.3330069871,2089,53498,572,4552,4,88
116,2370035030194939904,1-419288,0.133345,183.997377433,35.7173746013,2105,53472,57,4552,5,95
117,2370183739142596608,1-419607,0.148181,183.789114229,36.3366201557,2105,53472,598,4392,1,227
118,486456411329423360,1-43214,0.117997,114.096383278,39.4382798053,432,51884,246,1350,5,56
119,492144459723597824,1-44549,0.131696,120.440525845,44.1100506919,437,51876,459,1345,5,92
120,495458387920709632,1-45291,0.116703,122.298944914,49.0170431431,440,51912,218,1350,5,131
121,495500993996285952,1-45370,0.1206,122.640238394,49.2202259168,440,51885,382,1350,5,133
122,496681044565583872,1-45787,0.129045,126.371085873,47.133569098,441,51868,579,1331,2,150
123,502320715102447616,1-47511,0.118101,132.116344602,54.9529050508,446,51899,616,1350,3,187
124,503357554198341632,1-47705,0.126344,130.996444722,51.0902636663,447,51877,292,1331,3,183
125,505606605618833408,1-48410,0.114568,132.977743439,52.9008813541,449,51900,282,1331,4,197
126,2802400666968942592,1-487379,0.138746,167.089811867,22.6614709807,2489,53857,130,5183,6,239
127,504578012491048960,1-48805,0.140985,135.420700689,56.1050201185,448,51900,636,3600,1,32
128,2810253109522098176,1-489644,0.13552,171.725450104,21.2952520296,2496,54178,25,5194,2,381
129,2814782822550628352,1-491045,0.133262,172.833530941,21.424677921,2500,54178,120,5183,2,273
130,521453866844186624,1-52169,0.12013,58.16605547,-5.67800955981,463,51908,590,1045,4,161
131,522574818948704256,1-52494,0.130857,60.0838039859,-5.58524415766,464,51908,572,1729,4,481
132,3345167997248497664,1-546894,0.122719,255.979555141,37.3248749067,2971,54590,434,2335,6,63
133,3346340076576598016,1-547210,0.11708,258.190223742,36.2788557572,2972,54586,602,4679,1,219
134,4116443529219428352,1-547999,0.135844,110.517196768,42.4213792365,3656,55241,558,4264,5,37
135,4116464969696169984,1-548001,0.122465,111.037340537,42.9193141439,3656,55241,636,4264,5,41
136,4118689830870994944,1-548024,0.129403,111.733682055,41.0266910782,3658,55205,538,6573,5,195
137,4126603016760741888,1-548074,0.127591,114.394019718,47.4639579264,3665,55247,654,4294,5,51
138,4135451885183455232,1-548135,0.130201,117.953854063,46.1928605658,3673,55178,78,4204,3,90
139,4142277104132968448,1-548172,0.129513,118.62324853,51.4676576627,3679,55209,332,4264,3,108
140,4279666034859069440,1-548622,0.132961,119.279384699,35.9796796497,3801,55509,438,2137,4,125
141,1111438072731428864,1-550913,0.135009,321.443159095,0.93108017,987,52523,636,4187,6,92
142,543978737197148160,1-55683,0.119001,137.041133755,57.4236117812,483,51924,615,1412,2,12
143,5134218567701778432,1-558115,0.119252,157.915763497,35.0928896362,4560,55575,418,4518,5,196
144,1534667320067123200,1-558912,0.12611,166.129407835,42.6245544187,1363,53053,239,3818,2,77
145,5802903611412598784,1-564239,0.147635,133.79826156,53.8283216245,5154,55864,56,1345,4,179
146,5840067657710456832,1-564477,0.116163,253.887902479,38.0648443937,5187,56074,90,2248,4,179
147,6690289765181575168,1-567948,0.131113,113.284972917,44.5509699475,3660,55209,700,4264,3,56
148,6788316172737859584,1-569042,0.113262,246.561043903,46.3708377365,6029,56099,966,2248,5,113
149,6793769200722923520,1-569077,0.13825,242.034014667,42.9905995551,6034,56103,324,3226,3,66
150,6805176083887181824,1-569162,0.13676,244.15763746,42.4488084008,6044,56090,862,4629,5,185
151,7175634265245503488,1-574402,0.131997,115.368719754,44.4087940076,1736,53052,479,4208,4,74
152,7528029392741879808,1-576146,0.128965,170.461723946,48.0792542418,6686,56389,955,2964,1,257
153,7534758129042739200,1-576188,0.128062,169.475782191,49.5933752164,6692,56390,858,2964,5,255
154,7565021636841459712,1-576333,0.131503,222.146717119,51.3855754913,6719,56390,364,3712,4,237
155,11567504576065327104,1-609414,0.119496,157.93471,35.04137,10274,58170,32,4518,5,196
156,610390065306167296,1-71481,0.131157,117.456001215,34.8839120986,542,51993,554,2137,5,113
157,613733133916858368,1-72322,0.126168,121.014200537,40.8026129505,545,52202,428,2076,4,113
158,617026442496075776,1-72928,0.127041,127.256488342,45.0167725695,548,51986,121,2076,2,155
159,618185877423679488,1-73184,0.148244,127.528168009,45.3517505123,549,51981,243,2075,3,65
160,620440151339853824,1-73584,0.12215,132.627858985,50.2789266122,551,51993,252,2074,5,102
161,620465165229385728,1-73638,0.115137,133.035323408,51.3127390765,551,51993,343,1331,1,190
162,620486055950313472,1-73667,0.112362,133.06809411,50.627237501,551,51993,419,2074,5,105
163,703702870926583808,1-93471,0.127959,247.694974246,47.7947656349,625,52145,56,1453,3,45
164,704869726165166080,1-93872,0.139743,247.097142285,43.9576126147,626,52057,205,2299,6,320
165,704871100554700800,1-93876,0.139404,246.942944115,44.177521384,626,52057,210,2248,2,126
