mangaid,plateifu,nsa_z,flux,FWHM km/s,D_L Mpc,D_L cm,L erg/s,Given D_L Mpc,Given flux,Their Lum,log10 (M_BH / M_sun),Given vdis
1-377841,8133-12705,0.130943,934.7139263203068,128.51860251773925,615.1,1.898001768e+27,4.231377794232161e+41,430.5657,1138.465,5.153743177310635e+41,4.260064935733364,115.0897
1-558912,8256-12704,0.12611,504.7609503473309,163.52981263858695,590.5,1.82209404e+27,2.1058973035602505e+41,413.3847,880.6425,3.674100908310021e+41,4.308930144018517,237.1582
1-351719,8720-12702,0.134953,526.3207235337325,181.55922332977048,635.6,1.961258208e+27,2.5440748386608445e+41,444.8922,668.3733,3.230713934169717e+41,4.447649162663768,149.9343
1-47511,8721-3701,0.118101,957.464988960367,159.71237911150465,550.2,1.697741136e+27,3.467973016801255e+41,385.1212,1069.307,3.873068848922893e+41,4.406949108905216,152.926
1-113521,7815-6103,0.135043,1823.2673258188024,132.63993183500205,636.0,1.96249248e+27,8.824217736761739e+41,445.2144,2307.728,1.1168902146632046e+42,4.463860951758373,104.5897
1-338629,8132-12703,0.116056,2390.397300494678,140.60883009840114,539.9,1.6659586319999997e+27,8.336972709704731e+41,377.9462,2656.656,9.265601398767412e+41,4.5024905499116965,125.4166
1-338922,8133-12704,0.134471,329.40397860305666,178.01188024622036,633.1,1.953544008e+27,1.579738136731201e+41,443.1667,686.8413,3.293917092602984e+41,4.316176716247404,204.2926
1-574402,8137-3702,0.131997,595.5605435420484,181.23261389970256,620.5,1.91466444e+27,2.743602086901122e+41,434.325,1029.419,4.742282119460557e+41,4.464073503971592,136.5246
1-72322,8143-6101,0.126168,699.4483441153429,149.4411684214787,590.8,1.823019744e+27,2.9211123098525866e+41,413.5903,1429.529,5.970154614452333e+41,4.306490260074285,222.9631
1-286804,8329-6102,0.142887,922.2662099127956,312.78036540573424,676.3,2.086845384e+27,5.047155755665872e+41,473.4268,987.6719,5.4050922187269554e+41,5.097899018993991,163.2049
1-156158,8439-3703,0.138619,1376.0772877319637,143.4377981666541,654.3,2.018960424e+27,7.048688245401041e+41,458.0458,1432.626,7.338348024695293e+41,4.480216598733465,134.9262
1-487379,8448-3703,0.138746,1487.2372304875807,176.94792205186374,655.0,2.0211204e+27,7.634392496490366e+41,458.5024,1826.961,9.37828684211184e+41,4.687117623793172,179.7231
1-258599,8464-6101,0.125582,2791.5636806127054,190.1216062745285,587.9,1.814071272e+27,1.1544259882786668e+42,411.5134,3033.741,1.254576234971586e+42,4.850136186087161,363.1804
1-269632,9049-1901,0.131457,1398.8830105084576,128.4914346255978,617.7,1.906024536e+27,6.386284084840144e+41,432.3984,1903.752,8.691149301086666e+41,4.358197331045088,126.7388
